Name,Economy,Cylinders,Displacement,Horsepower,Weight,Acceleration
factor,numeric,numeric,numeric,numeric,numeric,numeric
Mazda RX4,21,6,160,110,2.62,16.46
Mazda RX4 Wag,21,6,160,110,2.875,17.02
Datsun 710,22.8,4,108,93,2.32,18.61
Hornet 4 Drive,21.4,6,258,110,3.215,19.44
Hornet Sportabout,18.7,8,360,175,3.44,17.02
Valiant,18.1,6,225,105,3.46,20.22
Duster 360,14.3,8,360,245,3.57,15.84
Merc 240D,24.4,4,146.7,62,3.19,20
Merc 230,22.8,4,140.8,95,3.15,22.9
Merc 280,19.2,6,167.6,123,3.44,18.3
Merc 280C,17.8,6,167.6,123,3.44,18.9
Merc 450SE,16.4,8,275.8,180,4.07,17.4
Merc 450SL,17.3,8,275.8,180,3.73,17.6
Merc 450SLC,15.2,8,275.8,180,3.78,18
Cadillac Fleetwood,10.4,8,472,205,5.25,17.98
Lincoln Continental,10.4,8,460,215,5.424,17.82
Chrysler Imperial,14.7,8,440,230,5.345,17.42
Fiat 128,32.4,4,78.7,66,2.2,19.47
Honda Civic,30.4,4,75.7,52,1.615,18.52
Toyota Corolla,33.9,4,71.1,65,1.835,19.9
Toyota Corona,21.5,4,120.1,97,2.465,20.01
Dodge Challenger,15.5,8,318,150,3.52,16.87
AMC Javelin,15.2,8,304,150,3.435,17.3
Camaro Z28,13.3,8,350,245,3.84,15.41
Pontiac Firebird,19.2,8,400,175,3.845,17.05
Fiat X1-9,27.3,4,79,66,1.935,18.9
Porsche 914-2,26,4,120.3,91,2.14,16.7
Lotus Europa,30.4,4,95.1,113,1.513,16.9
Ford Pantera L,15.8,8,351,264,3.17,14.5
Ferrari Dino,19.7,6,145,175,2.77,15.5
Maserati Bora,15,8,301,335,3.57,14.6
Volvo 142E,21.4,4,121,109,2.78,18.6
